TÍTULO DA TABELA,TÍTULO DA NOTA,LINK,DATA DE PUBLICAÇÃO,HORÁRIO DE PUBLICAÇÃO,DATA DE ATUALIZAÇÃO,HORÁRIO DE ATUALIZAÇÃO,ANO,MÊS,NÚMERO DA NOTA,CATEGORIA
Notas à Imprensa - Itamaraty,40 anos do Instituto Rio Branco em Brasília,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/40-anos-do-instituto-rio-branco-em-brasilia,31/03/2016,15h47,04/04/2016,19h41,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Participação do Ministro Mauro Vieira na IV Cúpula de Segurança Nuclear – Washington, D.C., 31 de março e 1º de abril",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/participacao-do-ministro-mauro-vieira-na-iv-cupula-de-seguranca-nuclear-washington-d-c-31-de-marco-e-1-de-abril,30/03/2016,22h00,17/08/2017,13h40,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"﻿Brasil e Estados Unidos realizam a III Reunião da Comissão de Relações Econômicas e Comerciais do Acordo Brasil-Estados Unidos de Cooperação Econômica e Comercial (ATEC) – Washington, 30 de março de 2016",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/brasil-e-estados-unidos-realizam-a-iii-reuniao-da-comissao-de-relacoes-economicas-e-comerciais-do-acordo-brasil-estados-unidos-de-cooperacao-economica-e-comercial-atec-washington-30-de-marco-de-2016,30/03/2016,21h24,31/03/2016,19h53,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Estabelecimento de mesa de negociações para a paz  entre o Governo da Colômbia e o Exército de Libertação Nacional (ELN),https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/estabelecimento-de-mesa-de-negociacoes-para-a-paz-entre-o-governo-da-colombia-e-o-exercito-de-libertacao-nacional-eln,30/03/2016,20h10,22/04/2016,20h58,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Viagem do Ministro Mauro Vieira aos Estados Unidos, por ocasião da III Reunião da Comissão Brasil-EUA de Relações Econômicas e Comerciais e IV Cúpula de Segurança Nuclear – Washington, 30 de março a 1º de abril - Celular da AIG",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ar-washington-dc-30-de-marco-a-1-de-abril-celular-da-aig,30/03/2016,15h53,30/03/2016,21h51,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Ratificação do Acordo de Facilitação do Comércio da OMC,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ratificacao-do-acordo-de-facilitacao-do-comercio-da-omc,29/03/2016,22h21,28/06/2016,18h08,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Visita do Diretor-Geral da OMC ao Brasil,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-diretor-geral-da-omc-ao-brasil,28/03/2016,19h40,01/04/2016,22h07,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentado no Paquistão,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentado-no-paquistao-27032016,28/03/2016,00h14,01/04/2016,18h34,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentado no Iraque,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/iraq20160325,26/03/2016,15h48,28/03/2016,21h51,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Calendário de eventos entre 27 de março e 2 de abril de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/calendario-de-eventos-20-26-de-marzo-de-2028,24/03/2016,19h30,24/03/2016,23h11,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil na Nova Zelândia",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-nova-zelandia,23/03/2016,15h45,23/03/2016,16h14,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil no Reino da Bélgica",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-no-reino-da-belgica,23/03/2016,15h13,23/03/2016,15h38,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador da República Cooperativa da Guiana",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-da-guyana,22/03/2016,15h02,10/08/2017,15h16,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Atentados em Bruxelas,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atentbruxelas,22/03/2016,13h54,22/03/2016,17h54,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Visita do Ministro dos Negócios Estrangeiros e Europeus de Luxemburgo – Rio de Janeiro e Brasília, 21 e 22 de março de 2016",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-dos-negocios-estrangeiros-e-europeus-de-luxemburgo-rio-de-janeiro-e-brasilia-21-e-22-de-marco-de-2016,21/03/2016,21h49,12/03/2018,15h38,2016,Março,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil na República de Chipre",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-na-republica-de-chipre,21/03/2016,21h46,20/04/2016,22h36,2016,Março,N/A,Sem categoria
